ID,Type,UGS,"GTIN, UPC, EAN ou ISBN",Nom,Publié,"Mis en avant ?","Visibilité dans le catalogue","Description courte",Description,"Date de début de promo","Date de fin de promo","État de la TVA","Classe de TVA","En stock ?",Stock,"Montant de stock faible","Autoriser les commandes de produits en rupture ?","Vendre individuellement ?","Poids (kg)","Longueur (cm)","Largeur (cm)","Hauteur (cm)","Autoriser les avis clients ?","Note de commande","Tarif promo","Tarif régulier",Catégories,Étiquettes,"Classe d’expédition",Images,"Limite de téléchargement","Jours d’expiration du téléchargement",Parent,"Groupes de produits","Produits suggérés","Ventes croisées","URL externe","Libellé du bouton",Position,Brands
94,simple,'-&&&àççààà(çç,,"huile Leo 1L",1,0,hidden,,,,,taxable,,1,15,,0,0,,,,,1,,,18,Uncategorized,,,,,,,,,,,,0,
95,simple,'-&&&àççààà(_é,,"Huile Leo 1/2L",1,0,hidden,,,,,taxable,,1,30,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
96,simple,6111258520012,,"Pipas NOWARA 50G",1,0,hidden,,,,,taxable,,1,108,,0,0,,,,,1,,,"3,5",Uncategorized,,,,,,,,,,,,0,
97,simple,"'-&&&é""éàà'è&é",,"Pate at tartiner Chocoland 350g",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,13,Uncategorized,,,,,,,,,,,,0,
98,simple,_'&à'àçà&é'ç_,,"Rockstar 500ml",1,0,hidden,,,,,taxable,,1,24,,0,0,,,,,1,,,20,Uncategorized,,,,,,,,,,,,0,
99,simple,"_'é""(-(à""&'ç'",,"fast power extreme 250ml fraise",1,0,hidden,,,,,taxable,,1,24,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
100,simple,'-&&&é'((ç_è(_,,"Mouchoir de poche Dalaa",1,0,hidden,,,,,taxable,,1,225,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
101,simple,"è""éé('à('_(-""",,"Mouchoir poche Tempo",1,0,hidden,,,,,taxable,,1,300,,0,0,,,,,1,,,"2,5",Uncategorized,,,,,,,,,,,,0,
102,simple,"'-&&&à&_çà""&-&",,"Nescafé soluble 45g",1,0,hidden,,,,,taxable,,0,0,,0,0,,,,,1,,,24,Uncategorized,,,,,,,,,,,,0,
103,simple,'-&&&à&_(à&'_à,,"sachet Nescafe 1.8g",1,0,hidden,,,,,taxable,,1,120,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
104,simple,"'-éé""àà-""'((_'",,"couche molfix junior 5 11-25Kg",1,0,hidden,,,,,taxable,,1,140,,0,0,,,,,1,,,"2,5",Uncategorized,,,,,,,,,,,,0,
105,simple,"'-éé""àà-""'((èè",,"couche Molfix 4 7-18",1,0,hidden,,,,,taxable,,1,4,,0,0,,,,,1,,,162,Uncategorized,,,,,,,,,,,,0,
106,simple,"'-éé""àà-""'((ç&",,"Couche Molfix 6 16+",1,0,hidden,,,,,taxable,,1,4,,0,0,,,,,1,,,100,Uncategorized,,,,,,,,,,,,0,
107,simple,,,"Couche Molfix 6",1,0,hidden,,,,,taxable,,1,88,,0,0,,,,,1,,,"4,5",Uncategorized,,,,,,,,,,,,0,
108,simple,"_'&àé-&-'""à&'",,"Simon Life 33cl",1,0,hidden,,,,,taxable,,1,11,,0,0,,,,,1,,,7,Uncategorized,,,,,,,,,,,,0,
109,simple,_'&à'ç_è&àé'',,"Insect ORO 200ML",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,16,Uncategorized,,,,,,,,,,,,0,
110,simple,"'-éé""àà&""'&éèè",,"Baygon grand",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,30,Uncategorized,,,,,,,,,,,,0,
111,simple,"'-&&&é'((ç""&&&",,"Mia Maxi Long",1,0,hidden,,,,,taxable,,1,16,,0,0,,,,,1,,,16,Uncategorized,,,,,,,,,,,,0,
112,simple,"'-&&&à""&àà(àç(",,Tango,1,0,hidden,,,,,taxable,,1,45,,0,0,,,,,1,,,"1,5",Uncategorized,,,,,,,,,,,,0,
113,simple,"'-&&&é(ç""'&--&",,"Eyoo Choc",1,0,hidden,,,,,taxable,,1,120,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
114,simple,"'-&&&é(ç""'""&à_",,"King Chocolat Cookies Noir",1,0,hidden,,,,,taxable,,1,60,,0,0,,,,,1,,,2,Uncategorized,,,,,,,,,,,,0,
115,simple,"'-&&&é(ç""'""""''",,"king Chocolat Cookies Blanc",1,0,hidden,,,,,taxable,,1,60,,0,0,,,,,1,,,2,Uncategorized,,,,,,,,,,,,0,
116,simple,,,"Mix Fraise",1,0,hidden,,,,,taxable,,1,120,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
117,simple,"""""-é-ààà&&à''",,"Petit Henry's",1,0,hidden,,,,,taxable,,1,120,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
118,simple,"""""-é-ààà&è-&ç",,Spofy,1,0,hidden,,,,,taxable,,1,48,,0,0,,,,,1,,,2,Uncategorized,,,,,,,,,,,,0,
119,simple,"""""-é-ààààçà'&",,Flipo,1,0,hidden,,,,,taxable,,1,240,,0,0,,,,,1,,,"0,5",Uncategorized,,,,,,,,,,,,0,
120,simple,"'-&&&é(ç""'&&çè",,"Momo black",1,0,hidden,,,,,taxable,,1,120,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
121,simple,"'-&&&é(ç""'&""(è",,"Silvia Duo Cacao",1,0,hidden,,,,,taxable,,1,120,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
122,simple,"'-&&&é(ç""'""çç""",,"Bono Cover",1,0,hidden,,,,,taxable,,1,120,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
123,simple,"'-&&&é(ç""'è'_ç",,"Sergio Black",1,0,hidden,,,,,taxable,,1,120,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
124,simple,"""""-é-ààà&&éé_",,"Sablé petit",1,0,hidden,,,,,taxable,,1,120,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
125,simple,"""""-é-ààà&&àà-",,"Henry's Grand",1,0,hidden,,,,,taxable,,1,50,,0,0,,,,,1,,,3,Uncategorized,,,,,,,,,,,,0,
126,simple,"'-&&&à""&àà((çà",,"Oreo Chocolat",1,0,hidden,,,,,taxable,,1,48,,0,0,,,,,1,,,4,Uncategorized,,,,,,,,,,,,0,
127,simple,"'-&&&à""&àà('(""",,"Merendina Big M",1,0,hidden,,,,,taxable,,1,48,,0,0,,,,,1,,,3,Uncategorized,,,,,,,,,,,,0,
128,simple,"'-&&&à""&àà('""ç",,"Merendina Classique",1,0,hidden,,,,,taxable,,1,96,,0,0,,,,,1,,,2,Uncategorized,,,,,,,,,,,,0,
129,simple,"'-&&&à""&àà(à""""",,Tagger,1,0,hidden,,,,,taxable,,1,96,,0,0,,,,,1,,,"1,5",Uncategorized,,,,,,,,,,,,0,
130,simple,"_à_çè_è""",,"Mentos watermelon 30g",1,0,hidden,,,,,taxable,,1,10,,0,0,,,,,1,,,13,Uncategorized,,,,,,,,,,,,0,
131,simple,"_èé""'ààè_àçèè",,"Mentos Fresh Mint",1,0,hidden,,,,,taxable,,1,10,,0,0,,,,,1,,,13,Uncategorized,,,,,,,,,,,,0,
132,simple,"_àèç'""à&",,"Mentos Tutti Frutti",1,0,hidden,,,,,taxable,,1,10,,0,0,,,,,1,,,13,Uncategorized,,,,,,,,,,,,0,
133,simple,,,"Gullon Wafer Mix",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,15,Uncategorized,,,,,,,,,,,,0,
134,simple,,,"Gullon Wafer Mix piece",1,0,hidden,,,,,taxable,,1,36,,0,0,,,,,1,,,5,Uncategorized,,,,,,,,,,,,0,
135,simple,,,"Fakiat Chili",1,0,hidden,,,,,taxable,,0,0,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
136,simple,'-&&&é'éà'é(çç,,"Fakiat Fromage",1,0,hidden,,,,,taxable,,1,60,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
137,simple,"'-&&&é'éà'&""(-",,"Fakiat chili",1,0,hidden,,,,,taxable,,1,60,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
138,simple,,,"Gullon Dorada Maria 1 piece",1,0,hidden,,,,,taxable,,1,40,,0,0,,,,,1,,,7,Uncategorized,,,,,,,,,,,,0,
139,simple,"_'&à""è-àà_""è&",,"Gullon Dorada Maria 4 pieces",1,0,hidden,,,,,taxable,,1,10,,0,0,,,,,1,,,28,Uncategorized,,,,,,,,,,,,0,
140,simple,_'éé&&'à'éç-è,,"Totas Gourmet 100g",1,0,hidden,,,,,taxable,,1,10,,0,0,,,,,1,,,12,Uncategorized,,,,,,,,,,,,0,
141,simple,_'éé&&'èç&éàç,,"Kaskys Tex Mex",1,0,hidden,,,,,taxable,,1,28,,0,0,,,,,1,,,"3,5",Uncategorized,,,,,,,,,,,,0,
142,simple,'-&&&é'éà'àçç&,,"Fakiat Barbecue",1,0,hidden,,,,,taxable,,1,60,,0,0,,,,,1,,,1,Uncategorized,,,,,,,,,,,,0,
143,simple,_'éé&&'&èà_à-,,"Totas Campesinas",1,0,hidden,,,,,taxable,,1,24,,0,0,,,,,1,,,"3,5",Uncategorized,,,,,,,,,,,,0,
144,simple,'àà(_à_ç&_à-(,,"Deodorant Nivea 200ml",1,0,hidden,,,,,taxable,,1,6,,0,0,,,,,1,,,35,Uncategorized,,,,,,,,,,,,0,
145,simple,"""-àà((&&('ç_(",,"Deodorant Ushuaia 200ml vanille",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,35,Uncategorized,,,,,,,,,,,,0,
146,simple,,,"Clorets Petit",1,0,hidden,,,,,taxable,,1,200,,0,0,,,,,1,,,"0,5",Uncategorized,,,,,,,,,,,,0,
147,simple,,,"Trident Mix",1,0,hidden,,,,,taxable,,1,200,,0,0,,,,,1,,,"0,5",Uncategorized,,,,,,,,,,,,0,
149,simple,çààé'çà&àààèà,,"Red Bull 250ml",1,0,hidden,,,,,taxable,,1,24,,0,0,,,,,1,,,20,Uncategorized,,,,,,,,,,,,0,
150,simple,'-&&&é'çç'&ééé,,"cous fin al itka 500g",1,0,hidden,,,,,taxable,,1,20,,0,0,,,,,1,,,9,Uncategorized,,,,,,,,,,,,0,
151,simple,"'-&&&é'çç'&é""ç",,"Cous fin Al Itka 1K",1,0,hidden,,,,,taxable,,1,15,,0,0,,,,,1,,,15,Uncategorized,,,,,,,,,,,,0,
152,simple,'-&&&é'çç'&&(',,"Cous Moy Al Itka 500g",1,0,hidden,,,,,taxable,,1,18,,0,0,,,,,1,,,9,Uncategorized,,,,,,,,,,,,0,
153,simple,'-&&&é'çç'&&-&,,"cous Moy Al Itka 1K",1,0,hidden,,,,,taxable,,1,15,,0,0,,,,,1,,,15,Uncategorized,,,,,,,,,,,,0,
154,simple,'-&&&é'çç'éàè-,,"Farine Fleur 1K Al Itka",1,0,hidden,,,,,taxable,,1,10,,0,0,,,,,1,,,"7,5",Uncategorized,,,,,,,,,,,,0,
155,simple,'-&&&é'çç'éàçà,,"Farine Fino Al Itka 1K",1,0,hidden,,,,,taxable,,1,10,,0,0,,,,,1,,,13,Uncategorized,,,,,,,,,,,,0,
156,simple,"'-&&&é'çç'""é&ç",,"Semoule fine Al Itka 1K",1,0,hidden,,,,,taxable,,1,10,,0,0,,,,,1,,,13,Uncategorized,,,,,,,,,,,,0,
157,simple,'-&&&é'çç'àèéà,,"cheveux ange Al itka 500g",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
158,simple,'-&&&é'çç'àèè(,,"Pte torsette Al Itka 500G",1,0,hidden,,,,,taxable,,1,12,,0,0,,,,,1,,,10,Uncategorized,,,,,,,,,,,,0,
